timestamp_ms,open,high,low,close,volume,datetime,symbol,sma_20,ema_20,bb_upper,bb_lower,rsi_14,return_pct
1768089600000,3082.71,3087.45,3080.7,3087.45,2.078061,2026-01-11 00:00:00+00:00,ETHUSD,,3087.45,,,,
1768093200000,3087.45,3091.15,3085.37,3091.15,3.54455,2026-01-11 01:00:00+00:00,ETHUSD,,3087.8023809523806,,,,0.11983999740887707
1768096800000,3091.15,3092.99,3088.25,3088.64,2.878874,2026-01-11 02:00:00+00:00,ETHUSD,,3087.882154195011,,,,-0.08119955356421515
1768100400000,3088.64,3093.24,3088.51,3092.53,2.041225,2026-01-11 03:00:00+00:00,ETHUSD,,3088.3248061764384,,,,0.12594539991712672
1768104000000,3092.53,3094.13,3090.8,3093.45,11.784663,2026-01-11 04:00:00+00:00,ETHUSD,,3088.8129198739207,,,,0.029749105101628537
1768107600000,3093.45,3096.87,3092.3,3095.27,16.100553,2026-01-11 05:00:00+00:00,ETHUSD,,3089.427879885928,,,,0.05883398794226391
1768111200000,3095.27,3095.89,3088.34,3090.54,9.700346,2026-01-11 06:00:00+00:00,ETHUSD,,3089.5337960872685,,,,-0.15281380945765255
1768114800000,3090.54,3094.6,3089.27,3090.23,1.840389,2026-01-11 07:00:00+00:00,ETHUSD,,3089.6001012218144,,,,-0.010030609537492463
1768118400000,3090.23,3101.35,3090.23,3101.0,80.395639,2026-01-11 08:00:00+00:00,ETHUSD,,3090.685805867356,,,,0.3485177478699031
1768122000000,3101.0,3104.91,3096.49,3100.07,3.164255,2026-01-11 09:00:00+00:00,ETHUSD,,3091.5795386418936,,,,-0.02999032570137894
1768125600000,3100.07,3103.07,3099.4,3101.38,47.822519,2026-01-11 10:00:00+00:00,ETHUSD,,3092.5129159140943,,,,0.042257110323307145
1768129200000,3101.38,3103.13,3098.94,3100.95,7.795605,2026-01-11 11:00:00+00:00,ETHUSD,,3093.3164477317996,,,,-0.01386479567161425
1768132800000,3100.95,3111.78,3100.95,3111.45,5.563945,2026-01-11 12:00:00+00:00,ETHUSD,,3095.0434527097236,,,,0.3386059110917605
1768136400000,3111.45,3111.74,3102.9,3105.73,2.290526,2026-01-11 13:00:00+00:00,ETHUSD,,3096.0612191183213,,,,-0.18383711774252465
1768140000000,3105.73,3123.12,3105.73,3123.12,9.734786,2026-01-11 14:00:00+00:00,ETHUSD,,3098.6382458689573,,,77.4680425073155,0.5599327694294054
1768143600000,3123.12,3123.12,3106.88,3113.76,106.083422,2026-01-11 15:00:00+00:00,ETHUSD,,3100.0784129290564,,,66.01501629125954,-0.29970029970028955
1768147200000,3113.76,3140.0,3112.41,3125.1,144.525903,2026-01-11 16:00:00+00:00,ETHUSD,,3102.4614212215274,,,72.95391589020424,0.364189918298119
1768150800000,3125.1,3128.07,3113.26,3120.8,45.086142,2026-01-11 17:00:00+00:00,ETHUSD,,3104.207952533763,,,67.70637604910465,-0.13759559694088708
1768154400000,3120.8,3128.4,3114.41,3125.17,191.078708,2026-01-11 18:00:00+00:00,ETHUSD,,3106.204338006738,,,69.04418828049994,0.14002819789797893
1768158000000,3125.17,3127.43,3116.81,3120.32,81.123051,2026-01-11 19:00:00+00:00,ETHUSD,3103.9055,3107.548686768001,3130.527759364754,3077.283240635246,64.51164407368822,-0.1551915575792595
1768161600000,3120.32,3120.32,3097.82,3110.73,258.789257,2026-01-11 20:00:00+00:00,ETHUSD,3105.0695,3107.8516689805724,3130.678830926956,3079.460169073044,61.072721289898176,-0.3073402727925334
1768165200000,3110.73,3120.04,3104.63,3116.52,11.524486,2026-01-11 21:00:00+00:00,ETHUSD,3106.338,3108.677224315756,3131.5545748331497,3081.1214251668507,63.60062079668924,0.18612994377524839
1768168800000,3116.52,3116.52,3103.16,3104.9,16.872488,2026-01-11 22:00:00+00:00,ETHUSD,3107.1510000000003,3108.3174886666366,3130.9750859105598,3083.326914089441,52.00000000000008,-0.3728517705645973
1768172400000,3104.9,3120.04,3088.25,3118.0,396.259675,2026-01-11 23:00:00+00:00,ETHUSD,3108.4245,3109.2396326031476,3131.673856278582,3085.175143721418,58.174523570712154,0.42191374923508107
1768176000000,3118.0,3122.28,3094.01,3114.59,45.346595,2026-01-12 00:00:00+00:00,ETHUSD,3109.4815,3109.749191402848,3131.766554963739,3087.1964450362607,55.90945692046175,-0.10936497754970853
1768179600000,3114.59,3132.04,3110.42,3119.36,63.698811,2026-01-12 01:00:00+00:00,ETHUSD,3110.686,3110.6645065073385,3132.33178033511,3089.04021966489,57.92782706054628,0.1531501738591512
1768183200000,3119.36,3162.75,3119.36,3153.5,92.548276,2026-01-12 02:00:00+00:00,ETHUSD,3113.834,3114.7440773161634,3140.8019860107074,3086.8660139892922,65.04472271914159,1.0944552728764823
1768186800000,3153.5,3165.76,3147.2,3147.62,72.520222,2026-01-12 03:00:00+00:00,ETHUSD,3116.7035,3117.875117571767,3145.26260825307,3088.14439174693,64.97033807447656,-0.18645948945615887
1768190400000,3147.62,3158.56,3144.7,3154.46,13.436997,2026-01-12 04:00:00+00:00,ETHUSD,3119.3765,3121.3593920887415,3151.528318987587,3087.2246810124125,62.11348175633907,0.2173070446877423
1768194000000,3154.46,3163.03,3152.7,3154.23,141.067219,2026-01-12 05:00:00+00:00,ETHUSD,3122.0845,3124.489926175528,3156.437536163988,3087.7314638360117,66.83024203609753,-0.007291263797926106
1768197600000,3154.23,3160.69,3147.2,3148.87,50.958732,2026-01-12 06:00:00+00:00,ETHUSD,3124.459,3126.811837968335,3159.3472256717987,3089.570774328201,60.40262582056896,-0.16993053772236255
1768201200000,3148.87,3156.4,3129.5,3132.0,44.19734,2026-01-12 07:00:00+00:00,ETHUSD,3126.0114999999996,3127.3059486380175,3159.2178178991753,3092.805182100824,54.41570730168738,-0.5357477444289493
1768204800000,3132.0,3141.79,3100.0,3111.52,24.558312,2026-01-12 08:00:00+00:00,ETHUSD,3126.0150000000003,3125.8025249582065,3159.214869689029,3092.8151303109717,45.22493528300563,-0.6538952745849258
1768208400000,3111.52,3120.0,3108.72,3113.12,68.0413,2026-01-12 09:00:00+00:00,ETHUSD,3126.3845,3124.5946654383774,3158.788749542631,3093.980250457369,47.42268041237104,0.05142181313313454
1768212000000,3113.12,3113.47,3101.26,3101.26,13.118897,2026-01-12 10:00:00+00:00,ETHUSD,3125.2915000000003,3122.372316349008,3159.579317861221,3091.0036821387794,46.66431842197963,-0.380968289047634
1768215600000,3101.26,3115.91,3101.26,3111.52,15.145227,2026-01-12 11:00:00+00:00,ETHUSD,3125.1794999999997,3121.3387624110073,3159.6401151852724,3090.718884814727,48.29258298046714,0.3308332742175679
